date,price_65_m1,price_62_m1,Ukraine Concentrate fines,lump premium,IOCJ Import margin,rebar steel margin ,indian pellet premium,(IOCJ+SSF)/2-PBF,62 Index,65 Index,IOCJ Inventory,IOCJ Weekly shipment,Y
2022-03-30,146.7055674614379,109.5276022630352,1345.0,0.3665,-33.15,374.0,29.6,-32.5,158.2,182.7,1414.8,352.0,-0.5484875531960526
2022-03-31,145.90310838988427,108.97721230191443,1345.0,0.307,-38.52,383.0,28.4,-40.5,158.3,184.0,1414.8,352.0,0.8453135711058191
2022-04-01,147.1416746750276,109.55724129663346,1350.0,0.3,-37.42,390.0,26.9,-40.0,159.85,185.0,1414.8,352.0,1.2788519089655963
2022-04-04,149.03548247876287,111.6044024544653,1350.0,0.3,-37.42,390.0,26.9,-40.0,160.8,186.1,1414.8,189.8,-0.12876229044446869
2022-04-05,148.84370447332134,111.26320892816,1350.0,0.3,-37.42,390.0,26.9,-40.0,160.8,186.2,1414.8,189.8,-0.9168438725711232
2022-04-06,147.48527693477703,110.10315093872195,1350.0,0.3,-21.92,398.0,26.35,-33.0,160.2,184.7,1414.8,189.8,-2.4349982883732753
2022-04-07,143.9373838341084,106.55473826514678,1335.0,0.306,-15.12,396.0,27.4,-35.0,155.05,181.0,1414.8,189.8,-0.7858477114576444
2022-04-08,142.8106880521393,105.3605609230782,1335.0,0.3125,-13.21,368.0,27.9,-35.0,154.65,178.1,1414.8,189.8,-1.989215681859953
2022-04-11,139.99794397232995,103.3133997652464,1300.0,0.3125,-18.1,313.0,27.2,-32.5,150.6,174.9,1414.8,240.6,1.94444290296112
2022-04-12,142.74676205032546,105.80411250727512,1320.0,0.3125,-16.93,331.0,26.75,-38.0,154.85,178.1,1360.57,240.6,-2.4652028998312194
2022-04-13,139.2707857016974,103.51811588102956,1310.0,0.296,-6.77,312.0,27.05,-23.0,151.4,174.9,1360.57,240.6,1.5033595591321451
2022-04-14,141.38034376155446,105.53115768623088,1320.0,0.296,-19.32,338.0,27.7,-24.5,152.8,176.0,1360.57,240.6,0.2652895750567575
2022-04-18,141.7559090222108,105.53115768623088,1330.0,0.296,-15.06,323.0,27.1,-28.5,153.85,179.1,1360.57,291.1,-1.5680357633790734
2022-04-19,139.550461959633,102.76749012315788,1310.0,0.296,-8.9,334.0,26.4,-25.5,149.85,175.2,1310.71,291.1,0.13733121865401454
2022-04-20,139.74223996507456,102.97220623894108,1315.0,0.296,-19.52,355.0,26.05,-23.0,150.7,176.3,1310.71,291.1,-0.42404510277591734
2022-04-21,139.15092444829642,103.3475191178769,1315.0,0.296,-7.19,335.0,25.2,-21.0,150.05,176.3,1310.71,291.1,-0.3393831092674023
2022-04-22,138.67947018491932,102.28981918633046,1315.0,0.3,-21.03,322.0,25.1,-27.5,150.5,176.3,1310.71,291.1,-8.806481136139736
2022-04-25,126.9890026032116,92.80463915504298,1235.0,0.29,3.47,322.0,24.7,-9.0,135.75,161.8,1310.71,282.2,2.0244236784884886
2022-04-26,129.58599642689924,95.15887448654958,1270.0,0.29,-13.01,323.0,24.15,-5.0,138.95,163.6,1350.75,282.2,1.4873120511686422
2022-04-27,131.5277487319949,96.31893247598762,1270.0,0.29,-25.46,320.0,24.2,-5.5,140.45,166.9,1350.75,282.2,0.9192130519583527
2022-04-28,132.74234276645805,97.03543888122876,1270.0,0.29,-22.66,313.0,24.1,-10.5,142.0,167.1,1350.75,282.2,2.7255791630108663
2022-04-29,136.41009712052767,99.83322579693228,1290.0,0.29,-36.01,307.0,19.45,-14.0,142.35,169.4,1350.75,282.2,-1.8948623129528868
2022-05-03,133.84964869561162,97.92449904902236,1290.0,0.29,-36.01,307.0,19.45,-14.0,142.35,169.4,1350.75,311.2,-0.24015381378851947
2022-05-04,133.52858933198578,97.37914854961952,1290.0,0.29,-36.01,307.0,19.45,-14.0,142.9,168.7,1350.75,311.2,1.2662933510954533
2022-05-05,135.23020395920273,98.7425247981266,1290.0,0.29,-14.0,325.0,19.55,-5.0,145.8,169.6,1350.75,311.2,-4.7588962823797845
2022-05-06,128.94546691622696,94.00479233456446,1270.0,0.2765,-16.45,296.0,19.55,-3.0,139.0,163.7,1350.75,311.2,-5.976520286293258
2022-05-09,121.46478374374496,87.08565787339093,1270.0,0.2655,31.35,309.0,19.4,1.5,131.35,154.9,1350.75,278.0,-2.6109395837206457
2022-05-10,118.33445494839305,86.30171653049933,1256.0,0.2655,29.9,292.0,19.55,8.0,128.1,152.0,1253.95,278.0,3.2564430765684076
2022-05-11,122.25137918462823,89.98283240146851,1280.0,0.2655,21.35,313.0,17.0,3.5,133.5,157.9,1253.95,278.0,-4.176350078075415
2022-05-12,117.25087959615584,85.48369078139508,1263.0,0.296,26.05,291.0,16.1,-7.0,127.55,150.6,1253.95,278.0,1.0554726699338177
2022-05-13,118.49498463020596,86.71072940505147,1283.0,0.296,18.51,310.0,15.8,-9.0,127.35,153.8,1253.95,278.0,2.0050965127209057
2022-05-16,120.89490337330908,88.44903412189802,1300.0,0.296,27.07,270.0,15.5,2.0,127.35,153.8,1253.95,182.9,-1.1753841741440958
2022-05-17,119.4822421733554,87.63100837279377,1284.0,0.296,29.9,268.0,15.3,1.5,130.15,153.8,1193.08,182.9,-1.4071399814847938
2022-05-18,117.81273348250105,85.21101553169366,1260.0,0.296,25.71,267.0,14.95,4.5,126.6,151.3,1193.08,182.9,1.3399401939952629
2022-05-19,119.40197733244894,86.57439178020076,1266.0,0.296,24.78,262.0,14.8,-0.5,129.4,152.0,1193.08,182.9,4.982677186788485
2022-05-20,125.50210524133986,91.3802930561883,1290.0,0.3355,-1.96,252.0,14.2,-1.5,136.25,159.7,1193.08,182.9,0.08310692503263162
2022-05-23,125.60644953451823,91.3462086499756,1290.0,0.3355,24.74,203.0,14.6,2.5,135.95,159.9,1193.08,265.9,-3.0098918683322773
2022-05-24,121.88216091645852,88.0059368411332,1270.0,0.356,26.79,187.0,15.0,3.0,130.5,156.8,1144.4,265.9,2.162809860363494
2022-05-25,124.54695363455298,89.13072224615158,1270.0,0.34,31.34,178.0,15.15,3.0,133.4,157.8,1144.4,265.9,-1.3887309492447553
2022-05-26,122.82928603915477,88.21044327840929,1266.0,0.3315,9.21,216.0,15.5,-2.5,131.25,156.5,1144.4,265.9,2.159101325247383
2022-05-27,125.5101317254305,90.562267307084,1288.0,0.3315,12.96,217.0,15.25,-1.5,134.45,159.4,1144.4,265.9,1.043332830798869
2022-05-30,126.82647511629642,91.89155914937844,1293.0,0.3315,27.86,208.0,14.55,0.0,136.6,160.8,1144.4,218.3,-0.2280936172337743
2022-05-31,126.53752168903318,92.36874083635593,1306.0,0.3315,35.75,217.0,14.45,-2.0,136.5,161.0,1094.02,218.3,0.3489277254312494
2022-06-01,126.97981738268376,92.61072481309787,1300.0,0.3195,38.33,232.0,14.1,6.0,136.55,160.6,1094.02,218.3,4.218596101158158
2022-06-02,132.45117892636128,97.58868090607515,1311.0,0.3095,-6.88,224.0,13.3,-3.5,143.65,166.8,1094.02,218.3,1.4610450197206628
2022-06-03,134.40055624282124,98.4874785339738,1311.0,0.3095,-6.88,224.0,13.3,-3.5,143.65,166.9,1094.02,218.3,0.6923384875840544
2022-06-06,135.33429159608357,99.80110583628726,1313.0,0.291,-17.36,220.0,13.0,2.5,146.75,168.2,1094.02,322.2,-0.8692271243930269
2022-06-07,134.1630270740089,99.83567497582185,1313.0,0.2835,-2.78,196.0,12.85,3.5,147.25,169.8,1054.2,322.2,-0.0061051924681110245
2022-06-08,134.15483641301535,100.28507378977118,1310.0,0.2565,-14.52,191.0,12.85,4.5,146.9,167.8,1054.2,322.2,-1.8672549913287821
2022-06-09,131.673066131976,97.89980316188624,1310.0,0.2135,2.71,195.0,12.6,13.0,143.85,166.3,1054.2,322.2,-1.2329995042994342
2022-06-10,130.05950591625074,96.79359069678016,1306.0,0.206,3.58,185.0,12.45,15.0,141.55,162.9,1054.2,322.2,-3.2775128470765087
2022-06-13,125.86588748756375,93.44038416192744,1290.0,0.2,30.71,141.0,12.7,19.5,136.6,158.6,1054.2,328.5,-1.145337956321053
2022-06-14,124.43252181369614,91.78106546426834,1285.0,0.2,34.12,74.0,13.15,22.0,134.2,155.8,939.27,328.5,-2.553386945461828
2022-06-15,121.29549865317446,89.36122569684883,1263.0,0.2,40.72,39.0,13.35,30.5,130.85,151.3,939.27,328.5,-1.018062274747216
2022-06-16,120.06689950414508,87.28707732477497,1258.0,0.1665,43.18,27.0,13.6,27.5,129.5,149.8,939.27,328.5,-6.241693583161686
2022-06-17,112.80178320288464,82.62024348760879,1243.0,0.151,76.24,-9.0,13.1,43.5,122.15,141.4,939.27,328.5,-7.428672313174238
2022-06-20,104.7257914632648,76.32866009231809,1190.0,0.151,78.57,-50.0,13.2,52.0,112.35,131.7,939.27,299.0,3.148714761075244
2022-06-21,108.07577180961826,79.43988265042887,1200.0,0.151,49.17,24.0,13.25,56.0,115.9,134.4,891.13,299.0,-5.948374198448675
2022-06-22,101.834488132549,75.32615504581571,1199.0,0.097,46.73,2.0,13.25,48.0,109.4,128.1,891.13,299.0,5.3173613470728185
2022-06-23,107.39594694715537,81.47946188296817,1215.0,0.094,23.38,28.0,12.6,22.0,116.05,129.4,891.13,299.0,-1.7929763530995648
2022-06-24,105.48752293566302,79.05962211554866,1215.0,0.094,41.98,24.0,12.6,32.5,115.0,130.9,891.13,299.0,4.219072893413953
2022-06-27,110.03333978707175,82.75852004574705,1230.0,0.094,31.68,14.0,12.6,28.5,119.6,136.4,891.13,370.9,3.3236351073321595
2022-06-28,113.75189987813404,85.38577465037393,1235.0,0.094,13.27,34.0,12.6,8.5,125.0,140.8,828.41,370.9,-0.6791442908895
2022-06-29,112.98197774474228,85.86974260385784,1235.0,0.1075,20.75,23.0,12.75,9.5,123.2,139.4,828.41,370.9,-2.1544029564715816
2022-06-30,110.57392341264467,81.65230758064098,1229.0,0.1075,32.64,46.0,12.75,11.5,120.1,136.9,828.41,370.9,-3.419395158850576
2022-07-01,106.85687645574184,79.12233370399125,1214.0,0.1295,15.57,65.0,13.45,20.5,116.45,130.0,828.41,370.9,-4.969868818846902
2022-07-04,101.6760366706782,75.72593041752995,1185.0,0.1295,41.89,31.0,12.45,28.5,109.9,125.2,828.41,312.1,2.310531693725646
2022-07-05,104.05264412763596,77.52810358993798,1194.0,0.1295,34.12,50.0,12.45,17.0,114.3,126.3,785.51,312.1,-1.3927247518531867
2022-07-06,102.61352196511828,76.97358876765858,1194.0,0.1105,43.92,56.0,11.85,12.5,112.35,125.7,785.51,312.1,1.7004780032354627
2022-07-07,104.37336278099706,79.33027676234602,1194.0,0.104,36.47,74.0,11.5,7.5,114.85,127.3,785.51,312.1,-0.5609780444455527
2022-07-08,103.7894903607756,78.60247605810432,1194.0,0.104,29.94,57.0,11.3,3.0,114.05,127.4,785.51,312.1,-2.3326776100240636
2022-07-11,101.39643579338905,76.86961723848121,1190.0,0.104,38.81,16.0,11.3,8.0,114.05,127.4,785.51,298.5,-4.520778078815858
